SR. NO.,Tehsil,Qanoongoi,Mauza,Classification,Location,Square No,Killa No,Khasra No,DC Rate,Unit,Structure Rate
23734,Depal Pur,Pipli Pahar,Lakran Wala,Residential,Link Road,14-17,14,,37852,Marla,780
23735,Depal Pur,Pipli Pahar,Lakran Wala,Residential,Link Road,16-17,9,,37852,Marla,780
23736,Depal Pur,Pipli Pahar,Lakran Wala,Residential,Link Road,14-15,12;9/1;9/2;11/2,,37852,Marla,780
23737,Depal Pur,Pipli Pahar,Lakran Wala,Residential,Link Road,23-24,1-3;7-8;9/2,,37852,Marla,780
23738,Depal Pur,Pipli Pahar,Lakran Wala,Residential,Link Road,13-14,7-Jun,,74198,Marla,780
23739,Depal Pur,Pipli Pahar,Lakran Wala,Residential,Link Road,15-17,13;15;6-8,,37852,Marla,780
23740,Depal Pur,Pipli Pahar,Lakran Wala,Residential,Off Road,13,19;22;8-10,,74198,Marla,780
23741,Depal Pur,Pipli Pahar,Lakran Wala,Residential,Off Road,14,25,,74198,Marla,780
23742,Depal Pur,Pipli Pahar,Lakran Wala,Residential,Off Road,22,3;8;21,,74198,Marla,780
23743,Depal Pur,Pipli Pahar,Lakran Wala,Residential,Off Road,25-31;33-50,1,,37852,Marla,780
23744,Depal Pur,Pipli Pahar,Lakran Wala,Residential,Off Road,50;17-22,10,,37852,Marla,780
23745,Depal Pur,Pipli Pahar,Lakran Wala,Residential,Off Road,17-24,11,,37852,Marla,780
23746,Depal Pur,Pipli Pahar,Lakran Wala,Residential,Off Road,18-32,15,,37852,Marla,780
23747,Depal Pur,Pipli Pahar,Lakran Wala,Residential,Off Road,25-68,2,,37852,Marla,780
23748,Depal Pur,Pipli Pahar,Lakran Wala,Residential,Off Road,14-24,20,,37852,Marla,780
23749,Depal Pur,Pipli Pahar,Lakran Wala,Residential,Off Road,14-21;23-24,21,,37852,Marla,780
23750,Depal Pur,Pipli Pahar,Lakran Wala,Residential,Off Road,21-Jan,3-Jan,,37852,Marla,780
23751,Depal Pur,Pipli Pahar,Lakran Wala,Residential,Off Road,Jan-68,17-18;23-24,,37852,Marla,780
23752,Depal Pur,Pipli Pahar,Lakran Wala,Residential,Off Road,50-68,11;20-21,,37852,Marla,780
23753,Depal Pur,Pipli Pahar,Lakran Wala,Residential,Off Road,14-68,19;22,,37852,Marla,780
23754,Depal Pur,Pipli Pahar,Lakran Wala,Residential,Off Road,15-32,16;25,,37852,Marla,780
23755,Depal Pur,Pipli Pahar,Lakran Wala,Residential,Off Road,12-Jan,19-22;6-11,,37852,Marla,780
23756,Depal Pur,Pipli Pahar,Lakran Wala,Residential,Off Road,49-68,25;15-16,,37852,Marla,780
23757,Depal Pur,Pipli Pahar,Lakran Wala,Residential,Off Road,22-Jan,5-Apr,,37852,Marla,780
23758,Depal Pur,Pipli Pahar,Lakran Wala,Residential,Off Road,13-Jan,25;12-16,,37852,Marla,780
23759,Depal Pur,Pipli Pahar,Lakran Wala,Residential,Off Road,18-21,8-Jul,,37852,Marla,780
23760,Depal Pur,Pipli Pahar,Lakran Wala,Residential,Off Road,18-68,14-Dec,,37852,Marla,780
23761,Depal Pur,Pipli Pahar,Lakran Wala,Residential,Off Road,52-68,1;3-4;7-10,,37852,Marla,780
23762,Depal Pur,Pipli Pahar,Lakran Wala,Residential,Off Road,18-22,6;9,,37852,Marla,780
23763,Depal Pur,Pipli Pahar,Lakran Wala,Residential,Off Road,34-47,25;5-6;15-16,,37852,Marla,780
23764,Depal Pur,Pipli Pahar,Lakran Wala,Residential,Off Road,25-50,3-4;7-9,,37852,Marla,780
23765,Depal Pur,Pipli Pahar,Lakran Wala,Residential,Off Road,52;54-68;25-32;49-50,6-May,,37852,Marla,780
23766,Depal Pur,Pipli Pahar,Lakran Wala,Residential,Off Road,26-31;33-48,10-11;20-21,,37852,Marla,780
23767,Depal Pur,Pipli Pahar,Mohal Musa,Agricultural,Link Road,10,11;15-16;20-24,,2916000,Acre,510
23768,Depal Pur,Pipli Pahar,Mohal Musa,Agricultural,Link Road,10,22-24,,2318639,Acre,470
23769,Depal Pur,Pipli Pahar,Mohal Musa,Agricultural,Link Road,14,5,,2916000,Acre,510
23770,Depal Pur,Pipli Pahar,Mohal Musa,Agricultural,Link Road,14,5;7,,2318639,Acre,470
23771,Depal Pur,Pipli Pahar,Mohal Musa,Agricultural,Link Road,19,10-11;20-21,,2916000,Acre,510
23772,Depal Pur,Pipli Pahar,Mohal Musa,Agricultural,Link Road,20,5;15-16,,2916000,Acre,510
23773,Depal Pur,Pipli Pahar,Mohal Musa,Agricultural,Link Road,28,25;5-6;15-16,,2916000,Acre,510
23774,Depal Pur,Pipli Pahar,Mohal Musa,Agricultural,Link Road,29,10,,2318639,Acre,470
23775,Depal Pur,Pipli Pahar,Mohal Musa,Agricultural,Link Road,36,23,,2916000,Acre,510
23776,Depal Pur,Pipli Pahar,Mohal Musa,Agricultural,Link Road,36,15;23,,2318639,Acre,470
23777,Depal Pur,Pipli Pahar,Mohal Musa,Agricultural,Link Road,37,1;10-11;15-16;18-20;5-6,,2916000,Acre,510
23778,Depal Pur,Pipli Pahar,Mohal Musa,Agricultural,Link Road,38,2;23/1;23/2,,2916000,Acre,510
23779,Depal Pur,Pipli Pahar,Mohal Musa,Agricultural,Link Road,44,15;17;23,,2916000,Acre,510
23780,Depal Pur,Pipli Pahar,Mohal Musa,Agricultural,Link Road,52,10;1-2,,2916000,Acre,510
23781,Depal Pur,Pipli Pahar,Mohal Musa,Agricultural,Link Road,54,4;14;18;22,,2916000,Acre,510
23782,Depal Pur,Pipli Pahar,Mohal Musa,Agricultural,Link Road,9,9-Feb,,2916000,Acre,510
23783,Depal Pur,Pipli Pahar,Mohal Musa,Agricultural,Link Road,19-20,1,,2916000,Acre,510
23784,Depal Pur,Pipli Pahar,Mohal Musa,Agricultural,Link Road,29;9-10,10,,2916000,Acre,510
23785,Depal Pur,Pipli Pahar,Mohal Musa,Agricultural,Off Road,14,4;7,,2916000,Acre,510
23786,Depal Pur,Pipli Pahar,Mohal Musa,Agricultural,Off Road,29,1;11;20-21,,2916000,Acre,510
23787,Depal Pur,Pipli Pahar,Mohal Musa,Agricultural,Off Road,36,15;17,,2916000,Acre,510
23788,Depal Pur,Pipli Pahar,Mohal Musa,Agricultural,Off Road,1-18;21-36,1,,2318639,Acre,470
23789,Depal Pur,Pipli Pahar,Mohal Musa,Agricultural,Off Road,20-28;30-36,10,,2318639,Acre,470
23790,Depal Pur,Pipli Pahar,Mohal Musa,Agricultural,Off Road,Jan-53,14,,2318639,Acre,470
23791,Depal Pur,Pipli Pahar,Mohal Musa,Agricultural,Off Road,29-35,15,,2318639,Acre,470
23792,Depal Pur,Pipli Pahar,Mohal Musa,Agricultural,Off Road,38-53,18,,2318639,Acre,470
23793,Depal Pur,Pipli Pahar,Mohal Musa,Agricultural,Off Road,10-37;39-51,2,,2318639,Acre,470
23794,Depal Pur,Pipli Pahar,Mohal Musa,Agricultural,Off Road,Nov-53,22,,2318639,Acre,470
23795,Depal Pur,Pipli Pahar,Mohal Musa,Agricultural,Off Road,37;39-43;11-35,23,,2318639,Acre,470
23796,Depal Pur,Pipli Pahar,Mohal Musa,Agricultural,Off Road,Nov-61,24,,2318639,Acre,470
23797,Depal Pur,Pipli Pahar,Mohal Musa,Agricultural,Off Road,1-27;29-61,25,,2318639,Acre,470
23798,Depal Pur,Pipli Pahar,Mohal Musa,Agricultural,Off Road,10;20,25,,2916000,Acre,510
23799,Depal Pur,Pipli Pahar,Mohal Musa,Agricultural,Off Road,Oct-53,4,,2318639,Acre,470
23800,Depal Pur,Pipli Pahar,Mohal Musa,Agricultural,Off Road,15-19,5,,2318639,Acre,470
23801,Depal Pur,Pipli Pahar,Mohal Musa,Agricultural,Off Road,27-Oct,6,,2318639,Acre,470
23802,Depal Pur,Pipli Pahar,Mohal Musa,Agricultural,Off Road,15-61,7,,2318639,Acre,470
23803,Depal Pur,Pipli Pahar,Mohal Musa,Agricultural,Off Road,29-36,16;5-6,,2318639,Acre,470
23804,Depal Pur,Pipli Pahar,Mohal Musa,Agricultural,Off Road,8-Jan,10-Feb,,2318639,Acre,470
23805,Depal Pur,Pipli Pahar,Mohal Musa,Agricultural,Off Road,19-Nov,15-16,,2318639,Acre,470
23806,Depal Pur,Pipli Pahar,Mohal Musa,Agricultural,Off Road,55-61,4;14;18;22,,2318639,Acre,470
23807,Depal Pur,Pipli Pahar,Mohal Musa,Agricultural,Off Road,38-51,1;10,,2318639,Acre,470
23808,Depal Pur,Pipli Pahar,Mohal Musa,Agricultural,Off Road,Jan-61,13-Dec,,2318639,Acre,470
23809,Depal Pur,Pipli Pahar,Mohal Musa,Agricultural,Off Road,Oct-61,3;8-9,,2318639,Acre,470
23810,Depal Pur,Pipli Pahar,Mohal Musa,Agricultural,Off Road,53-61,10;1-2,,2318639,Acre,470
23811,Depal Pur,Pipli Pahar,Mohal Musa,Agricultural,Off Road,13-Oct,5;7,,2318639,Acre,470
23812,Depal Pur,Pipli Pahar,Mohal Musa,Agricultural,Off Road,45-61,15;17;23,,2318639,Acre,470
23813,Depal Pur,Pipli Pahar,Mohal Musa,Agricultural,Off Road,18-Nov,10-11;20-21,,2318639,Acre,470
23814,Depal Pur,Pipli Pahar,Mohal Musa,Agricultural,Off Road,20-36,11;20-21,,2318639,Acre,470
23815,Depal Pur,Pipli Pahar,Mohal Musa,Agricultural,Off Road,9-Jan,11;15-16;20-24,,2318639,Acre,470
23816,Depal Pur,Pipli Pahar,Mohal Musa,Agricultural,Off Road,Jan-36,17-19,,2318639,Acre,470
23817,Depal Pur,Pipli Pahar,Mohal Musa,Agricultural,Off Road,38-61,11;16;19-21;5-6,,2318639,Acre,470
23818,Depal Pur,Pipli Pahar,Mohal Musa,Agricultural,Off Road,21-27,5;15-16,,2318639,Acre,470
23819,Depal Pur,Pipli Pahar,Mohal Musa,Agricultural,Off Road,38-43,15;17,,2318639,Acre,470
23820,Depal Pur,Pipli Pahar,Mohal Musa,Residential,Link Road,10,11;25;25-23;15-16;20-23,,37485,Marla,780
23821,Depal Pur,Pipli Pahar,Mohal Musa,Residential,Link Road,14,5,,37485,Marla,780
23822,Depal Pur,Pipli Pahar,Mohal Musa,Residential,Link Road,19,10-11;20-21,,37485,Marla,780
23823,Depal Pur,Pipli Pahar,Mohal Musa,Residential,Link Road,20,5;15-16,,37485,Marla,780
23824,Depal Pur,Pipli Pahar,Mohal Musa,Residential,Link Road,28,25;5-6;15-16,,37485,Marla,780
23825,Depal Pur,Pipli Pahar,Mohal Musa,Residential,Link Road,29,20,,37485,Marla,780
23826,Depal Pur,Pipli Pahar,Mohal Musa,Residential,Link Road,36,23,,37485,Marla,780
23827,Depal Pur,Pipli Pahar,Mohal Musa,Residential,Link Road,37,1;16;18-20;5-6;10-11,,37485,Marla,780
23828,Depal Pur,Pipli Pahar,Mohal Musa,Residential,Link Road,38,2;23/1;23/2,,37485,Marla,780
23829,Depal Pur,Pipli Pahar,Mohal Musa,Residential,Link Road,44,17;23,,37485,Marla,780
23830,Depal Pur,Pipli Pahar,Mohal Musa,Residential,Link Road,52,10;1-2,,37485,Marla,780
23831,Depal Pur,Pipli Pahar,Mohal Musa,Residential,Link Road,54,4;14;18;22,,37485,Marla,780
23832,Depal Pur,Pipli Pahar,Mohal Musa,Residential,Link Road,9,9-Feb,,37485,Marla,780
23833,Depal Pur,Pipli Pahar,Mohal Musa,Residential,Link Road,19-20,1,,37485,Marla,780
23834,Depal Pur,Pipli Pahar,Mohal Musa,Residential,Link Road,10-Sep,10,,37485,Marla,780
23835,Depal Pur,Pipli Pahar,Mohal Musa,Residential,Link Road,36-37;36-44,15,,37485,Marla,780
23836,Depal Pur,Pipli Pahar,Mohal Musa,Residential,Off Road,1-18;21-36,1,,37485,Marla,780
23837,Depal Pur,Pipli Pahar,Mohal Musa,Residential,Off Road,Jan-53,14,,37485,Marla,780
23838,Depal Pur,Pipli Pahar,Mohal Musa,Residential,Off Road,29-35;38-43,15,,37485,Marla,780
23839,Depal Pur,Pipli Pahar,Mohal Musa,Residential,Off Road,38-36;45-43,17,,37485,Marla,780
23840,Depal Pur,Pipli Pahar,Mohal Musa,Residential,Off Road,38-53,18,,37485,Marla,780
23841,Depal Pur,Pipli Pahar,Mohal Musa,Residential,Off Road,10-37;39-51,2,,37485,Marla,780
23842,Depal Pur,Pipli Pahar,Mohal Musa,Residential,Off Road,20-28;30-36,20,,37485,Marla,780
23843,Depal Pur,Pipli Pahar,Mohal Musa,Residential,Off Road,Nov-53,22,,37485,Marla,780
23844,Depal Pur,Pipli Pahar,Mohal Musa,Residential,Off Road,11-37;39-43,23,,37485,Marla,780
23845,Depal Pur,Pipli Pahar,Mohal Musa,Residential,Off Road,11-27;29-61,25,,37485,Marla,780
23846,Depal Pur,Pipli Pahar,Mohal Musa,Residential,Off Road,Oct-53,4,,37485,Marla,780
23847,Depal Pur,Pipli Pahar,Mohal Musa,Residential,Off Road,10-13;15-19,5,,37485,Marla,780
23848,Depal Pur,Pipli Pahar,Mohal Musa,Residential,Off Road,27-Oct,6,,37485,Marla,780
23849,Depal Pur,Pipli Pahar,Mohal Musa,Residential,Off Road,53-61,10;1-2,,37485,Marla,780
23850,Depal Pur,Pipli Pahar,Mohal Musa,Residential,Off Road,8-Jan,10-Feb,,37485,Marla,780
23851,Depal Pur,Pipli Pahar,Mohal Musa,Residential,Off Road,Jan-36,17-19,,37485,Marla,780
23852,Depal Pur,Pipli Pahar,Mohal Musa,Residential,Off Road,Jan-61,24;12-13,,37485,Marla,780
23853,Depal Pur,Pipli Pahar,Mohal Musa,Residential,Off Road,55-61,4;14;18;22,,37485,Marla,780
23854,Depal Pur,Pipli Pahar,Mohal Musa,Residential,Off Road,38-61,11;16;19-21;5-6,,37485,Marla,780
23855,Depal Pur,Pipli Pahar,Mohal Musa,Residential,Off Road,38-51,1;10,,37485,Marla,780
23856,Depal Pur,Pipli Pahar,Mohal Musa,Residential,Off Road,21-27,5;15-16,,37485,Marla,780
23857,Depal Pur,Pipli Pahar,Mohal Musa,Residential,Off Road,19-Nov,15-16,,37485,Marla,780
23858,Depal Pur,Pipli Pahar,Mohal Musa,Residential,Off Road,45-61,15;23,,37485,Marla,780
23859,Depal Pur,Pipli Pahar,Mohal Musa,Residential,Off Road,Oct-61,3;7-9,,37485,Marla,780
23860,Depal Pur,Pipli Pahar,Mohal Musa,Residential,Off Road,29-36,16;5-6,,37485,Marla,780
23861,Depal Pur,Pipli Pahar,Mohal Musa,Residential,Off Road,9-Jan,11;25;15-16;20-23,,37485,Marla,780
23862,Depal Pur,Pipli Pahar,Mohal Musa,Residential,Off Road,18-Nov,10-11;20-21,,37485,Marla,780
23863,Depal Pur,Pipli Pahar,Mohal Musa,Residential,Off Road,20-36,21;10-11,,37485,Marla,780
23864,Depal Pur,Pipli Pahar,Nawan Kot,Agricultural,Link Road,19,6;9;15,,3002759,Acre,510
23865,Depal Pur,Pipli Pahar,Nawan Kot,Agricultural,Link Road,20,1;4;17-18;23-24,,3002759,Acre,510
23866,Depal Pur,Pipli Pahar,Nawan Kot,Agricultural,Link Road,22,21-22,,3002759,Acre,510
23867,Depal Pur,Pipli Pahar,Nawan Kot,Agricultural,Link Road,23,"13-14;16-18;24-25;3-4;7-
8",,3002759,Acre,510
23868,Depal Pur,Pipli Pahar,Nawan Kot,Agricultural,Link Road,38,1-2;13-14;8-9,,3002759,Acre,510
23869,Depal Pur,Pipli Pahar,Nawan Kot,Agricultural,Link Road,9,22-23,,3002759,Acre,510
23870,Depal Pur,Pipli Pahar,Nawan Kot,Agricultural,Link Road,19-20,13-14;2-3;7-8,,3002759,Acre,510
23871,Depal Pur,Pipli Pahar,Nawan Kot,Agricultural,Off Road,20-37,9,,2643140,Acre,470
23872,Depal Pur,Pipli Pahar,Nawan Kot,Agricultural,Off Road,21-40,17;23,,2643140,Acre,470
23873,Depal Pur,Pipli Pahar,Nawan Kot,Agricultural,Off Road,39-40,1-2;13-14;8-9,,2643140,Acre,470
23874,Depal Pur,Pipli Pahar,Nawan Kot,Agricultural,Off Road,8-Jan,25-Jan,,2643140,Acre,470
23875,Depal Pur,Pipli Pahar,Nawan Kot,Agricultural,Off Road,19-Oct,1;4;7-8;17-18;23-24,,2643140,Acre,470
23876,Depal Pur,Pipli Pahar,Nawan Kot,Agricultural,Off Road,10-21;23-40,21-22,,2643140,Acre,470
23877,Depal Pur,Pipli Pahar,Nawan Kot,Agricultural,Off Road,21-37,2-Jan,,2643140,Acre,470
23878,Depal Pur,Pipli Pahar,Nawan Kot,Agricultural,Off Road,20-40,6;15,,2643140,Acre,470
23879,Depal Pur,Pipli Pahar,Nawan Kot,Agricultural,Off Road,22-Oct,16;25,,2643140,Acre,470
23880,Depal Pur,Pipli Pahar,Nawan Kot,Agricultural,Off Road,24-37,8;13-14,,2643140,Acre,470
23881,Depal Pur,Pipli Pahar,Nawan Kot,Agricultural,Off Road,Oct-40,5;10-12;19-20,,2643140,Acre,470
23882,Depal Pur,Pipli Pahar,Nawan Kot,Agricultural,Off Road,21-22,18;24;3-4;7-8;13-14,,2643140,Acre,470
23883,Depal Pur,Pipli Pahar,Nawan Kot,Agricultural,Off Road,24-40,7;16;18;24-25;3-4,,2643140,Acre,470
23884,Depal Pur,Pipli Pahar,Nawan Kot,Agricultural,Off Road,18-Oct,6;9;13-15;2-3,,2643140,Acre,470
23885,Depal Pur,Pipli Pahar,Nawan Kot,Residential,Link Road,19,6;9;15,,37668,Marla,780
23886,Depal Pur,Pipli Pahar,Nawan Kot,Residential,Link Road,20,1;4;8;17-18;23-24,,37668,Marla,780
23887,Depal Pur,Pipli Pahar,Nawan Kot,Residential,Link Road,22,21-22,,37668,Marla,780
23888,Depal Pur,Pipli Pahar,Nawan Kot,Residential,Link Road,23,8;16;18;24-25;3-4;13-14,,37668,Marla,780
23889,Depal Pur,Pipli Pahar,Nawan Kot,Residential,Link Road,38,14;8-9;1-2,,37668,Marla,780
23890,Depal Pur,Pipli Pahar,Nawan Kot,Residential,Link Road,38,19;12-13,,60164,Marla,780
23891,Depal Pur,Pipli Pahar,Nawan Kot,Residential,Link Road,19-23,7,,37668,Marla,780
23892,Depal Pur,Pipli Pahar,Nawan Kot,Residential,Link Road,19-20,7;13-14;2-3,,37668,Marla,780
23893,Depal Pur,Pipli Pahar,Nawan Kot,Residential,Off Road,38,20,,60164,Marla,780
23894,Depal Pur,Pipli Pahar,Nawan Kot,Residential,Off Road,21-19;24-22;39-37,8,,37668,Marla,780
23895,Depal Pur,Pipli Pahar,Nawan Kot,Residential,Off Road,20-37,9,,37668,Marla,780
23896,Depal Pur,Pipli Pahar,Nawan Kot,Residential,Off Road,19-Jan,1;4;8;17-18;23-24,,37668,Marla,780
23897,Depal Pur,Pipli Pahar,Nawan Kot,Residential,Off Road,20-40,6;15,,37668,Marla,780
23898,Depal Pur,Pipli Pahar,Nawan Kot,Residential,Off Road,24-40,7;16;18;24-25;3-4,,37668,Marla,780
23899,Depal Pur,Pipli Pahar,Nawan Kot,Residential,Off Road,Jan-40,5;10-11,,37668,Marla,780
23900,Depal Pur,Pipli Pahar,Nawan Kot,Residential,Off Road,22-Jan,16;25,,37668,Marla,780
23901,Depal Pur,Pipli Pahar,Nawan Kot,Residential,Off Road,21-40,17;23,,37668,Marla,780
23902,Depal Pur,Pipli Pahar,Nawan Kot,Residential,Off Road,Jan-37,12;19-20,,37668,Marla,780
23903,Depal Pur,Pipli Pahar,Nawan Kot,Residential,Off Road,21-37,2-Jan,,37668,Marla,780
23904,Depal Pur,Pipli Pahar,Nawan Kot,Residential,Off Road,24-37,13-14,,37668,Marla,780
23905,Depal Pur,Pipli Pahar,Nawan Kot,Residential,Off Road,1-21;23-40,21-22,,37668,Marla,780
23906,Depal Pur,Pipli Pahar,Nawan Kot,Residential,Off Road,39-40,9;1-2;12-14;19-20,,37668,Marla,780
23907,Depal Pur,Pipli Pahar,Nawan Kot,Residential,Off Road,21-22,7;18;24;3-4;13-14,,37668,Marla,780
23908,Depal Pur,Pipli Pahar,Nawan Kot,Residential,Off Road,18-Jan,9;13-15;2-3;6-7,,37668,Marla,780
23909,Depal Pur,Pipli Pahar,Nawan Kot Jageer,Agricultural,Link Road,15,24/2;25/2,,3592684,Acre,510
23910,Depal Pur,Pipli Pahar,Nawan Kot Jageer,Agricultural,Link Road,5,10-Sep,,3592684,Acre,510
23911,Depal Pur,Pipli Pahar,Nawan Kot Jageer,Agricultural,Link Road,54;50-52,10,,3592684,Acre,510
23912,Depal Pur,Pipli Pahar,Nawan Kot Jageer,Agricultural,Link Road,20-27,1;4;8;10-13;18-22,,3592684,Acre,510
23913,Depal Pur,Pipli Pahar,Nawan Kot Jageer,Agricultural,Link Road,16-26,24-25,,3592684,Acre,510
23914,Depal Pur,Pipli Pahar,Nawan Kot Jageer,Agricultural,Link Road,15-17,1;10-11,,3592684,Acre,510
23915,Depal Pur,Pipli Pahar,Nawan Kot Jageer,Agricultural,Link Road,15-18,12-14;17-21;2-4;7-9,,3592684,Acre,510
23916,Depal Pur,Pipli Pahar,Nawan Kot Jageer,Agricultural,Link Road,32-33;40-41;60-63,25-Jan,,3592684,Acre,510
23917,Depal Pur,Pipli Pahar,Nawan Kot Jageer,Agricultural,Link Road,50-54,1-9;11-25,,3592684,Acre,510
23918,Depal Pur,Pipli Pahar,Nawan Kot Jageer,Agricultural,Link Road,20-26,7;14;17;23,,3592684,Acre,510
23919,Depal Pur,Pipli Pahar,Nawan Kot Jageer,Agricultural,Link Road,6-May,1-8;11-25,,3592684,Acre,510
23920,Depal Pur,Pipli Pahar,Nawan Kot Jageer,Agricultural,Link Road,15-26,15-16;5-6,,3592684,Acre,510
23921,Depal Pur,Pipli Pahar,Nawan Kot Jageer,Agricultural,Link Road,16-18,22-23,,3592684,Acre,510
23922,Depal Pur,Pipli Pahar,Nawan Kot Jageer,Agricultural,Link Road,20-22;24-27,9;2-3,,3592684,Acre,510
23923,Depal Pur,Pipli Pahar,Nawan Kot Jageer,Agricultural,Off Road,1,25/2,,3646484,Acre,470
23924,Depal Pur,Pipli Pahar,Nawan Kot Jageer,Agricultural,Off Road,14,27-28,,3646484,Acre,470
23925,Depal Pur,Pipli Pahar,Nawan Kot Jageer,Agricultural,Off Road,2,21,,3646484,Acre,470
23926,Depal Pur,Pipli Pahar,Nawan Kot Jageer,Agricultural,Off Road,28,26;9/1;9/2;10-12;19-22,,3646484,Acre,470
23927,Depal Pur,Pipli Pahar,Nawan Kot Jageer,Agricultural,Off Road,29,1-Feb,,3646484,Acre,470
23928,Depal Pur,Pipli Pahar,Nawan Kot Jageer,Agricultural,Off Road,4,1-3;19-21;8-12,,3646484,Acre,470
23929,Depal Pur,Pipli Pahar,Nawan Kot Jageer,Agricultural,Off Road,48,8-Jul,,3646484,Acre,470
23930,Depal Pur,Pipli Pahar,Nawan Kot Jageer,Agricultural,Off Road,49,2-Jan,,3646484,Acre,470
23931,Depal Pur,Pipli Pahar,Nawan Kot Jageer,Agricultural,Off Road,53,10,,3592684,Acre,510
23932,Depal Pur,Pipli Pahar,Nawan Kot Jageer,Agricultural,Off Road,55,1-7;10-12;19-23,,3646484,Acre,470
23933,Depal Pur,Pipli Pahar,Nawan Kot Jageer,Agricultural,Off Road,68,17-Oct,,3646484,Acre,470
23934,Depal Pur,Pipli Pahar,Nawan Kot Jageer,Agricultural,Off Road,69,6,,3646484,Acre,470
23935,Depal Pur,Pipli Pahar,Nawan Kot Jageer,Agricultural,Off Road,72,1-3;6-25,,3646484,Acre,470
23936,Depal Pur,Pipli Pahar,Nawan Kot Jageer,Agricultural,Off Road,47-48,13,,3646484,Acre,470
23937,Depal Pur,Pipli Pahar,Nawan Kot Jageer,Agricultural,Off Road,4-Jan,24,,3646484,Acre,470
23938,Depal Pur,Pipli Pahar,Nawan Kot Jageer,Agricultural,Off Road,30;35;43;65;1-2;46-48,26,,3646484,Acre,470
23939,Depal Pur,Pipli Pahar,Nawan Kot Jageer,Agricultural,Off Road,34-39,5,,3646484,Acre,470
23940,Depal Pur,Pipli Pahar,Nawan Kot Jageer,Agricultural,Off Road,69-70,3-Jan,,3646484,Acre,470
23941,Depal Pur,Pipli Pahar,Nawan Kot Jageer,Agricultural,Off Road,34-36,4;16;25;6-7,,3646484,Acre,470
23942,Depal Pur,Pipli Pahar,Nawan Kot Jageer,Agricultural,Off Road,69-72,5-Apr,,3646484,Acre,470
23943,Depal Pur,Pipli Pahar,Nawan Kot Jageer,Agricultural,Off Road,64-65;7-14,25-Jun,,3646484,Acre,470
23944,Depal Pur,Pipli Pahar,Nawan Kot Jageer,Agricultural,Off Road,11-14;7-8,26;1-5,,3646484,Acre,470
23945,Depal Pur,Pipli Pahar,Nawan Kot Jageer,Agricultural,Off Road,34-35,1-3;17-24;8-15,,3646484,Acre,470
23946,Depal Pur,Pipli Pahar,Nawan Kot Jageer,Agricultural,Off Road,4-Feb,25;22-23,,3646484,Acre,470
23947,Depal Pur,Pipli Pahar,Nawan Kot Jageer,Agricultural,Off Road,57-59,6-Apr,,3646484,Acre,470
23948,Depal Pur,Pipli Pahar,Nawan Kot Jageer,Agricultural,Off Road,42-44,13-18;23-25;3-8,,3646484,Acre,470
23949,Depal Pur,Pipli Pahar,Nawan Kot Jageer,Agricultural,Off Road,48-49,14-15;9-10,,3646484,Acre,470
23950,Depal Pur,Pipli Pahar,Nawan Kot Jageer,Agricultural,Off Road,58-59,1-3;7-25,,3646484,Acre,470
23951,Depal Pur,Pipli Pahar,Nawan Kot Jageer,Agricultural,Off Road,28-29,1/2;2/2,,3646484,Acre,470
23952,Depal Pur,Pipli Pahar,Nawan Kot Jageer,Agricultural,Off Road,38-39,1-4;6-25,,3646484,Acre,470
23953,Depal Pur,Pipli Pahar,Nawan Kot Jageer,Agricultural,Off Road,42-45,1-2;19-20;9-12,,3646484,Acre,470
23954,Depal Pur,Pipli Pahar,Nawan Kot Jageer,Agricultural,Off Road,55-56,13-18;24-26;8-9,,3646484,Acre,470
23955,Depal Pur,Pipli Pahar,Nawan Kot Jageer,Agricultural,Off Road,47-49,11-12;16-20;23-25,,3646484,Acre,470
23956,Depal Pur,Pipli Pahar,Nawan Kot Jageer,Agricultural,Off Road,42-49,21-22,,3646484,Acre,470
23957,Depal Pur,Pipli Pahar,Nawan Kot Jageer,Agricultural,Off Road,4-Mar,13-18;4-7,,3646484,Acre,470
23958,Depal Pur,Pipli Pahar,Nawan Kot Jageer,Agricultural,Off Road,30-31,25-Jan,,3646484,Acre,470
23959,Depal Pur,Pipli Pahar,Nawan Kot Jageer,Agricultural,Off Road,64-66,5-Jan,,3646484,Acre,470
23960,Depal Pur,Pipli Pahar,Nawan Kot Jageer,Residential,Link Road,15,24/2;25/2,,44580,Marla,780
23961,Depal Pur,Pipli Pahar,Nawan Kot Jageer,Residential,Link Road,5,10-Sep,,44580,Marla,780
23962,Depal Pur,Pipli Pahar,Nawan Kot Jageer,Residential,Link Road,53,1;9,,86088,Marla,780
23963,Depal Pur,Pipli Pahar,Nawan Kot Jageer,Residential,Link Road,6,10-Sep,,113759,Marla,780
23964,Depal Pur,Pipli Pahar,Nawan Kot Jageer,Residential,Link Road,20-27,1;4;8;10-13;18-22,,44580,Marla,780
23965,Depal Pur,Pipli Pahar,Nawan Kot Jageer,Residential,Link Road,54;50-52,1;9-10,,44580,Marla,780
23966,Depal Pur,Pipli Pahar,Nawan Kot Jageer,Residential,Link Road,15-17,1;10-11,,44580,Marla,780
23967,Depal Pur,Pipli Pahar,Nawan Kot Jageer,Residential,Link Road,6-May,1-8;11-25,,44580,Marla,780
23968,Depal Pur,Pipli Pahar,Nawan Kot Jageer,Residential,Link Road,15-26,15-16;5-6,,44580,Marla,780
